Producto,Precio Descuento,Precio Internet,Precio Anterior
Memoria Externa 2TB Disco Duro Externo USB31 Tipo C,$ 24.990,$ 26.990,$ 34.990
Tablet Redmi Pad Pro Gris 6+128 GB + Teclado y Lápiz,no encontrado,$ 399.990,no encontrado
"Unidad SSD Externa XS1000 2TB, USB 3.2 Gen 2, Hasta 1050MB/s",no encontrado,$ 169.990,no encontrado
"IPad Air 11"" [Gen 6] WiFi 128 GB Starlight",no encontrado,$ 979.990,no encontrado
Notebook 15-fd0036la Intel Core i3 8GB RAM 512GB SSD,no encontrado,$ 541.170,no encontrado
Antena internet rural - Elsys router wifi kit completo Amplimax 30km,no encontrado,$ 496.910,no encontrado
Kit Carcasa Mate y Protector Para MacBook Air M1 y 2020/18 - Rosa,no encontrado,no encontrado,no encontrado
ACCESS POINT OMADA EAP235 AC1200 PARED WIRELESS MU-MIMO GIGA,no encontrado,no encontrado,no encontrado
Mouse G305 Black,$ 30.990,$ 34.990,$ 46.990
Webcam Camara Web Fullhd 1080p Usb Microfono Tripode,no encontrado,$ 24.990,no encontrado
Memoria Externa 2tb Disco Duro Externo USB Tipo C Plateado,$ 25.990,$ 27.990,$ 34.990
Mini Impresora Térmica Bluetooth Portátil 58mm,no encontrado,$ 59.990,no encontrado
Maquina Para Boleta Electronica Incluye Impresora Termica,no encontrado,$ 237.840,no encontrado
Lapiz Pencil Tactil Stylus Para Apple iPad Palm Rejec,no encontrado,$ 29.990,no encontrado
Cartucho de Tinta Original 667 Negro,no encontrado,no encontrado,no encontrado
Disco Duro Canvio Bas A5 1T,no encontrado,$ 74.990,no encontrado
Pencil 1Ra Generación + Adaptador,no encontrado,$ 149.990,no encontrado
Monitor Gamer Plano 27 FHD IPS 165Hz sRGB120% HDMI DP C27F4F,no encontrado,$ 259.990,no encontrado
Docking Para Disco Duros 25-35 Sata,no encontrado,$ 27.990,no encontrado
Lápiz Stylus 2 para Lector E Reader Libra Colour - Negro,no encontrado,$ 79.990,no encontrado
Combo Teclado + Mouse Inalámbrico Mk220,no encontrado,no encontrado,no encontrado
Pack De 2 Cable Tipo C,$ 7.990,$ 8.990,$ 12.990
Funda Macbook 14P,no encontrado,no encontrado,no encontrado
Lapiz Pencil Tactil Stylus Para Apple iPad + Palm Rej,no encontrado,$ 29.990,no encontrado
Cable Tipo C EP DA705BB 60W,no encontrado,$ 14.990,no encontrado
Router Mi-Fi 4G MF920U,no encontrado,$ 69.990,no encontrado
Base Cooler 6 Ventiladores Enfriador Notebook Lcd Luz Rgb,no encontrado,no encontrado,no encontrado
Mouse Pencil Pro Ame,no encontrado,$ 169.990,no encontrado
Lapiz Pencil Tactil Stylus Para: Apple iPad Palm Rej,no encontrado,$ 29.990,no encontrado
"365 Personal (1 Persona, Suscripción 12 Meses, Word, Excel, Power Point, Outlook, Onedrive, Seguridad)",no encontrado,$ 85.990,no encontrado
